District,Event,Circle,Police Station,Caller Source,Event Type,Event Sub-Type,Create Date/Time,Latitude,Longitude
LUCKNOW,P02042109110,C1,PS1,PHONE,Domestic Violence,Beat Children By Familymembers,02/04/2021 19:25:00,26.843,81.016
LUCKNOW,P02042110067,C1,PS1,PHONE,Dispute,Other Dispute,02/04/2021 20:45:00,26.842,81.016
LUCKNOW,P02042111034,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,02/04/2021 21:50:00,26.841,81.010
LUCKNOW,P02042112483,C1,PS1,PHONE,Theft,Other Location,02/04/2021 23:26:00,26.831,81.045
LUCKNOW,P02042112668,C1,PS1,PHONE,Threat In Person,Attack,02/04/2021 23:46:00,26.832,80.999
LUCKNOW,P03042100124,C1,PS1,PHONE,Theft,Two Wheeler Vehicle,03/04/2021 00:20:00,26.825,81.012
LUCKNOW,P03042100442,C1,PS1,PHONE,Illegal Mining,Illegal Mining Land,03/04/2021 01:20:00,26.834,81.031
LUCKNOW,P03042101913,C1,PS1,PHONE,Suicide,By Hanging,03/04/2021 08:40:00,26.840,81.025
LUCKNOW,P03042102094,C1,PS1,PHONE,Dispute,Money Transactions Dispute,03/04/2021 08:57:00,26.836,81.022
LUCKNOW,P03042102141,C1,PS1,PHONE,Suicide,By Hanging,03/04/2021 09:02:00,26.839,81.026
LUCKNOW,P03042102919,C1,PS1,PHONE,Theft,Other Location,03/04/2021 10:20:00,26.839,81.026
LUCKNOW,P03042102973,C1,PS1,PHONE,Theft,Residential Building,03/04/2021 10:26:00,26.848,81.048
LUCKNOW,P03042108860,C1,PS1,PHONE,Dispute,Other Dispute,03/04/2021 19:44:00,26.833,81.036
LUCKNOW,P03042109069,C1,PS1,PHONE,Dispute,Other Dispute,03/04/2021 20:02:00,26.843,81.024
LUCKNOW,P03042110548,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,03/04/2021 22:28:00,26.839,81.026
LUCKNOW,P03042111216,C1,PS1,PHONE,Dispute,Other Dispute,03/04/2021 22:59:00,26.840,81.025
LUCKNOW,P03042111699,C1,PS1,PHONE,Threat In Person,Attack,03/04/2021 23:32:00,26.838,81.038
LUCKNOW,P03042111732,C1,PS1,PHONE,Threat In Person,Threatening To Kill,03/04/2021 23:35:00,26.831,81.052
LUCKNOW,P04042100035,C1,PS1,PHONE,Threat In Person,Threatening To Kill,04/04/2021 00:03:00,26.827,81.042
LUCKNOW,P04042100052,C1,PS1,PHONE,Threat In Person,Threatening To Kill,04/04/2021 00:05:00,26.831,81.052
LUCKNOW,P04042101157,C1,PS1,PHONE,Domestic Violence,Husband To Beat Wife,04/04/2021 04:16:00,26.841,81.001
LUCKNOW,P04042101421,C1,PS1,PHONE,Threat In Person,Attack,04/04/2021 05:47:00,26.835,81.007
LUCKNOW,P04042102030,C1,PS1,PHONE,Dispute,Money Transactions Dispute,04/04/2021 07:25:00,26.836,81.022
LUCKNOW,P04042102305,C1,PS1,PHONE,Theft,Residential Building,04/04/2021 07:56:00,26.847,81.039
LUCKNOW,P04042104429,C1,PS1,PHONE,Dispute,Money Transactions Dispute,04/04/2021 10:57:00,26.851,81.049
LUCKNOW,P04042105811,C1,PS1,PHONE,Corona,Suspect Found Infected,04/04/2021 12:38:00,26.836,81.000
LUCKNOW,P04042107646,C1,PS1,PHONE,Cyber Crimes,Bank Account Hacking,04/04/2021 14:35:00,26.837,81.024
LUCKNOW,P04042108639,C1,PS1,PHONE,Theft,Residential Building,04/04/2021 15:48:00,26.825,81.028
LUCKNOW,P04042112855,C1,PS1,PHONE,Female Sexual Harrassment,Teasing On Public Place,04/04/2021 21:28:00,26.841,81.022
LUCKNOW,P04042112928,C1,PS1,PHONE,Unclaimed Information,Unclaimed Men,04/04/2021 21:32:00,26.840,81.009
LUCKNOW,P04042113508,C1,PS1,PHONE,Domestic Violence,Husband To Beat Wife,04/04/2021 22:04:00,26.847,81.060
LUCKNOW,P05042100564,C1,PS1,PHONE,Threat In Person,Attack,05/04/2021 01:38:00,26.838,80.989
LUCKNOW,P05042104955,C1,PS1,PHONE,Domestic Violence,Expellinghouse Wife By Husband Or Family Members From House,05/04/2021 12:54:00,26.843,81.025
LUCKNOW,P05042105023,C1,PS1,PHONE,Dispute,Other Dispute,05/04/2021 13:02:00,26.845,81.020
LUCKNOW,P05042105414,C1,PS1,PHONE,Threat In Person,Threatening To Kill,05/04/2021 13:40:00,26.842,81.029
LUCKNOW,P05042106467,C1,PS1,PHONE,Domestic Violence,Husband To Beat Wife,05/04/2021 15:24:00,26.825,81.012
LUCKNOW,P05042108794,C1,PS1,PHONE,Encroachment,Government Land,05/04/2021 19:05:00,26.836,81.010
LUCKNOW,P05042111438,C1,PS1,PHONE,Crime On Phone Mobile Social Media Internet,Abuse Men,05/04/2021 22:07:00,26.844,81.038
LUCKNOW,P06042100037,C1,PS1,PHONE,Threat In Person,Threatening To Kill,06/04/2021 00:05:00,26.827,81.046
LUCKNOW,P06042100153,C1,PS1,PHONE,Dispute,Other Dispute,06/04/2021 00:19:00,26.835,81.022
LUCKNOW,P06042100796,C1,PS1,TWITTER,Dispute,Sewer Dispute,06/04/2021 02:45:00,26.839,81.017
LUCKNOW,P06042101350,C1,PS1,TWITTER,Animals Related,Found Injured Animal,06/04/2021 06:54:00,26.839,81.026
LUCKNOW,P06042103845,C1,PS1,PHONE,Threat In Person,Attack,06/04/2021 11:18:00,26.844,81.008
LUCKNOW,P06042108172,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,06/04/2021 18:19:00,26.847,81.031
LUCKNOW,P06042111217,C1,PS1,PHONE,Dispute,Other Dispute,06/04/2021 22:00:00,26.840,81.001
LUCKNOW,P06042111628,C1,PS1,PHONE,Unknown,Unknown,06/04/2021 22:23:00,26.819,81.015
LUCKNOW,P06042112282,C1,PS1,PHONE,Domestic Violence,Husband To Beat Wife,06/04/2021 23:04:00,26.822,81.018
LUCKNOW,P06042112907,C1,PS1,PHONE,Domestic Violence,Husband To Beat Wife,06/04/2021 23:54:00,26.825,81.012
LUCKNOW,P07042101225,C1,PS1,PHONE,Theft,Residential Building,07/04/2021 06:42:00,26.842,81.008
LUCKNOW,P07042102571,C1,PS1,PHONE,Missing,Women,07/04/2021 09:24:00,26.847,81.027
LUCKNOW,P07042104357,C1,PS1,PHONE,Property Disputes,Boundary Dispute,07/04/2021 12:14:00,26.838,81.008
LUCKNOW,P07042104458,C1,PS1,PHONE,Theft,Residential Building,07/04/2021 12:24:00,26.844,81.011
LUCKNOW,P07042105845,C1,PS1,PHONE,Animals Related,Cow Carcass And Slaughtering,07/04/2021 14:49:00,26.840,81.021
LUCKNOW,P07042107800,C1,PS1,PHONE,Robbery,On Road,07/04/2021 18:13:00,26.845,81.061
LUCKNOW,P07042108191,C1,PS1,PHONE,Corona,Help For Other,07/04/2021 18:46:00,26.818,81.018
LUCKNOW,P07042109168,C1,PS1,PHONE,Dispute,Money Transactions Dispute,07/04/2021 20:18:00,26.837,81.024
LUCKNOW,P07042109222,C1,PS1,PHONE,Crime On Phone Mobile Social Media Internet,Abuse Men,07/04/2021 20:22:00,26.840,81.025
LUCKNOW,P07042111691,C1,PS1,PHONE,Dispute,Dispute With Drunk Person,07/04/2021 22:55:00,26.840,81.001
LUCKNOW,P08042100847,C1,PS1,PHONE,Threat In Person,Threatening To Kill,08/04/2021 03:08:00,26.826,81.011
LUCKNOW,P08042103149,C1,PS1,PHONE,Dispute,Money Transactions Dispute,08/04/2021 10:12:00,26.836,81.022
LUCKNOW,P08042103692,C1,PS1,PHONE,Threat In Person,Threatening To Kill,08/04/2021 11:08:00,26.843,81.031
LUCKNOW,P08042106491,C1,PS1,PHONE,Threat In Person,Threatening To Kill,08/04/2021 15:40:00,26.835,81.008
LUCKNOW,P08042110382,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,08/04/2021 21:16:00,26.850,81.036
LUCKNOW,P08042111771,C1,PS1,PHONE,Dispute,Dispute With Drunk Person,08/04/2021 22:29:00,26.834,81.011
LUCKNOW,P09042106179,C1,PS1,PHONE,Dispute,Sewer Dispute,09/04/2021 14:40:00,26.840,81.025
LUCKNOW,P09042108089,C1,PS1,PHONE,Threat In Person,Attack,09/04/2021 17:41:00,26.847,81.028
LUCKNOW,P09042108304,C1,PS1,PHONE,Unknown,Unknown,09/04/2021 18:03:00,26.842,81.047
LUCKNOW,P09042108342,C1,PS1,PHONE,Dispute,Money Transactions Dispute,09/04/2021 18:06:00,26.840,80.996
LUCKNOW,P09042108568,C1,PS1,PHONE,Information Against Police,Misbehavior By Ps Incharge,09/04/2021 18:28:00,26.835,81.014
LUCKNOW,P09042110362,C1,PS1,PHONE,Corona,Suspect Found Infected,09/04/2021 20:55:00,26.839,81.026
LUCKNOW,P09042110526,C1,PS1,PHONE,Robbery,On Road,09/04/2021 21:05:00,26.848,81.035
LUCKNOW,P09042110917,C1,PS1,PHONE,Theft,Other Location,09/04/2021 21:28:00,26.834,81.007
LUCKNOW,P09042111894,C1,PS1,PHONE,Dispute,With Neighbor,09/04/2021 22:21:00,26.844,81.041
LUCKNOW,P10042100057,C1,PS1,PHONE,Threat In Person,Threatening To Kill,10/04/2021 00:06:00,26.849,81.030
LUCKNOW,P10042100368,C1,PS1,PHONE,Unknown,Unknown,10/04/2021 00:42:00,26.823,81.015
LUCKNOW,P10042103720,C1,PS1,PHONE,Dispute,Money Transactions Dispute,10/04/2021 11:10:00,26.830,81.032
LUCKNOW,P10042107534,C1,PS1,PHONE,Dispute,Dispute With Service Provider Or Vendor,10/04/2021 16:26:00,26.826,81.012
LUCKNOW,P10042108065,C1,PS1,PHONE,Information Against Police,Prv Has Taken Money From The Caller,10/04/2021 17:13:00,26.833,81.019
LUCKNOW,P10042112230,C1,PS1,PHONE,Theft,Residential Building,10/04/2021 22:18:00,26.834,81.008
LUCKNOW,P10042112352,C1,PS1,PHONE,Unknown,Unknown,10/04/2021 22:23:00,26.825,81.027
LUCKNOW,P11042100483,C1,PS1,PHONE,Illegal Mining,Illegal Mining,11/04/2021 01:02:00,26.832,81.031
LUCKNOW,P11042103095,C1,PS1,PHONE,Corona,Black Marketing Over Stocking,11/04/2021 10:08:00,26.839,81.000
LUCKNOW,P11042103368,C1,PS1,PHONE,Dispute,Dispute Between Ride And Driver,11/04/2021 10:32:00,26.835,81.012
LUCKNOW,P11042104241,C1,PS1,PHONE,Dispute,Other Dispute,11/04/2021 11:46:00,26.844,81.010
LUCKNOW,P11042106321,C1,PS1,PHONE,Threat In Person,Attack,11/04/2021 14:10:00,26.834,81.011
LUCKNOW,P11042108665,C1,PS1,PHONE,Dispute,Other Dispute,11/04/2021 17:37:00,26.834,81.011
LUCKNOW,P11042109137,C1,PS1,PHONE,Dispute,With Neighbor,11/04/2021 18:17:00,26.845,81.027
LUCKNOW,P11042112305,C1,PS1,PHONE,Dispute,Other Dispute,11/04/2021 21:59:00,26.829,81.008
LUCKNOW,P11042112856,C1,PS1,PHONE,Unknown,Unknown,11/04/2021 22:25:00,26.844,81.016
LUCKNOW,P12042100139,C1,PS1,PHONE,Dispute,Dispute With Drunk Person,12/04/2021 00:11:00,26.836,81.008
LUCKNOW,P12042102357,C1,PS1,PHONE,Dispute,Money Transactions Dispute,12/04/2021 08:43:00,26.833,81.028
LUCKNOW,P12042103722,C1,PS1,PHONE,Domestic Violence,Beat Children By Familymembers,12/04/2021 10:43:00,26.836,81.025
LUCKNOW,P12042104863,C1,PS1,PHONE,Threat In Person,Attack,12/04/2021 12:18:00,26.834,81.008
LUCKNOW,P12042106151,C1,PS1,PHONE,Threat In Person,Threatening To Kill,12/04/2021 14:06:00,26.841,81.000
LUCKNOW,P12042107626,C1,PS1,PHONE,Domestic Violence,Husband To Beat Wife,12/04/2021 16:14:00,26.838,81.000
LUCKNOW,P12042108150,C1,PS1,PHONE,Dispute,Money Transactions Dispute,12/04/2021 17:02:00,26.839,81.026
LUCKNOW,P12042108879,C1,PS1,PHONE,Dispute,Dispute With Drunk Person,12/04/2021 18:10:00,26.836,81.002
LUCKNOW,P12042110039,C1,PS1,PHONE,Dispute,Money Transactions Dispute,12/04/2021 19:53:00,26.842,81.017
LUCKNOW,P12042112097,C1,PS1,PHONE,Dispute,Other Dispute,12/04/2021 21:55:00,26.839,81.026
LUCKNOW,P12042112557,C1,PS1,PHONE,Information Against Police,No Action Has Been Taken By Ps Incharge For Delivery Of Person Vehicle Goods By ,12/04/2021 22:17:00,26.837,81.031
LUCKNOW,P12042112584,C1,PS1,PHONE,Dispute,Other Dispute,12/04/2021 22:18:00,26.837,81.031
LUCKNOW,P12042113702,C1,PS1,PHONE,Dispute,Dispute With Drunk Person,12/04/2021 23:20:00,26.834,81.011
LUCKNOW,P12042113826,C1,PS1,PHONE,Information Against Police,No Action Has Been Taken By Ps Incharge For Delivery Of Person Vehicle Goods By ,12/04/2021 23:29:00,26.850,81.044
LUCKNOW,P13042100307,C1,PS1,PHONE,Corona,Suspect Found Infected,13/04/2021 00:34:00,26.835,81.014
LUCKNOW,P13042101960,C1,PS1,PHONE,Threat In Person,Attack,13/04/2021 08:01:00,26.839,81.019
LUCKNOW,P13042102860,C1,PS1,PHONE,Threat In Person,Threatening To Kill,13/04/2021 09:32:00,26.834,81.008
LUCKNOW,P13042103512,C1,PS1,PHONE,Threat In Person,Attack,13/04/2021 10:26:00,26.838,81.028
LUCKNOW,P13042105183,C1,PS1,PHONE,Dispute,Money Transactions Dispute,13/04/2021 12:42:00,26.841,81.002
LUCKNOW,P13042105546,C1,PS1,PHONE,Dispute,Other Dispute,13/04/2021 13:08:00,26.826,81.002
LUCKNOW,P13042110307,C1,PS1,PHONE,Dispute,Other Dispute,13/04/2021 19:29:00,26.835,81.037
LUCKNOW,P13042110333,C1,PS1,PHONE,Dispute,Other Dispute,13/04/2021 19:32:00,26.833,81.022
LUCKNOW,P13042110538,C1,PS1,PHONE,Unknown,Unknown,13/04/2021 19:48:00,26.842,81.009
LUCKNOW,P13042110852,C1,PS1,PHONE,Dispute,Other Dispute,13/04/2021 20:12:00,26.836,81.023
LUCKNOW,P13042112553,C1,PS1,PHONE,Corona,Help For Other,13/04/2021 21:52:00,26.837,81.020
LUCKNOW,P13042113389,C1,PS1,TWITTER,Corona,Help For Other,13/04/2021 22:35:00,26.821,81.012
LUCKNOW,P14042103221,C1,PS1,PHONE,Theft,Residential Building,14/04/2021 09:57:00,26.840,81.051
LUCKNOW,P14042103550,C1,PS1,PHONE,Missing,Grp- Person Accident By Train ,14/04/2021 10:25:00,26.838,81.008
LUCKNOW,P14042104588,C1,PS1,PHONE,Encroachment,On Road,14/04/2021 11:55:00,26.839,81.026
LUCKNOW,P14042105413,C1,PS1,PHONE,Threat In Person,Attack,14/04/2021 13:01:00,26.839,81.000
LUCKNOW,P14042105538,C1,PS1,PHONE,Crime On Phone Mobile Social Media Internet,Abuse Women,14/04/2021 13:12:00,26.832,81.018
LUCKNOW,P14042106887,C1,PS1,PHONE,Dispute,Money Transactions Dispute,14/04/2021 15:13:00,26.839,81.014
LUCKNOW,P14042107679,C1,PS1,PHONE,Female Sexual Harrassment,Teasing On Public Place,14/04/2021 16:37:00,26.840,81.012
LUCKNOW,P15042101882,C1,PS1,PHONE,Pollution,Pollution By Dj/Band/Cracker/Others Means,15/04/2021 02:46:00,26.844,81.010
LUCKNOW,P15042102876,C1,PS1,PHONE,Corona,Help For Other,15/04/2021 07:21:00,26.839,81.028
LUCKNOW,P15042104123,C1,PS1,PHONE,Dispute,Other Dispute,15/04/2021 09:25:00,26.833,81.022
LUCKNOW,P15042106039,C1,PS1,PHONE,Dispute,Other Dispute,15/04/2021 11:51:00,26.839,81.026
LUCKNOW,P15042107746,C1,PS1,PHONE,Domestic Violence,Beating Senior Citizen,15/04/2021 13:57:00,26.850,81.048
LUCKNOW,P15042107768,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,15/04/2021 13:59:00,26.842,81.047
LUCKNOW,P15042107909,C1,PS1,PHONE,Dispute,Other Dispute,15/04/2021 14:10:00,26.836,81.009
LUCKNOW,P15042110175,C1,PS1,PHONE,Dispute,Other Dispute,15/04/2021 16:47:00,26.836,81.009
LUCKNOW,P15042114720,C1,PS1,PHONE,Information Against Other Government Departments,Notice Of Negligence In Work,15/04/2021 21:16:00,26.851,81.048
LUCKNOW,P15042114787,C1,PS1,PHONE,Gambling,Betting,15/04/2021 21:19:00,26.835,81.018
LUCKNOW,P15042116649,C1,PS1,PHONE,Dispute,Other Dispute,15/04/2021 22:39:00,26.827,81.016
LUCKNOW,P16042103006,C1,PS1,PHONE,Dispute,Other Dispute,16/04/2021 09:24:00,26.835,81.002
LUCKNOW,P16042106128,C1,PS1,PHONE,Theft,Other Location,16/04/2021 13:35:00,26.835,81.008
LUCKNOW,P16042107121,C1,PS1,PHONE,Threat In Person,Threatening To Kill,16/04/2021 15:00:00,26.842,81.027
LUCKNOW,P16042108173,C1,PS1,PHONE,Unclaimed Information,Unclaimed Men,16/04/2021 16:26:00,26.837,81.010
LUCKNOW,P16042109149,C1,PS1,PHONE,Threat In Person,Threatening To Kill,16/04/2021 17:40:00,26.852,81.042
LUCKNOW,P16042109944,C1,PS1,PHONE,Dispute,Money Transactions Dispute,16/04/2021 18:37:00,26.837,80.999
LUCKNOW,P16042110862,C1,PS1,PHONE,Corona,Open School/Coaching Institution/College/Office,16/04/2021 19:35:00,26.841,81.023
LUCKNOW,P16042110899,C1,PS1,PHONE,Information Against Police,Demand For Money By Ps Station Incharge,16/04/2021 19:37:00,26.841,81.023
LUCKNOW,P16042113462,C1,PS1,PHONE,Threat In Person,Attack,16/04/2021 21:44:00,26.843,81.015
LUCKNOW,P16042113609,C1,PS1,PHONE,Threat In Person,Threatening To Kill,16/04/2021 21:50:00,26.838,81.009
LUCKNOW,P16042115266,C1,PS1,PHONE,Dispute,Dispute With Unknown Person,16/04/2021 23:06:00,26.830,81.008
LUCKNOW,P17042101300,C1,PS1,TWITTER,Corona,Help For Other,17/04/2021 04:23:00,26.826,81.011
LUCKNOW,P17042102687,C1,PS1,PHONE,Theft,Residential Building,17/04/2021 08:31:00,26.839,81.026
LUCKNOW,P17042102742,C1,PS1,PHONE,Domestic Violence,Husband To Beat Wife,17/04/2021 08:38:00,26.836,81.020
LUCKNOW,P17042102759,C1,PS1,PHONE,Dispute,Money Transactions Dispute,17/04/2021 08:39:00,26.839,81.026
LUCKNOW,P17042104001,C1,PS1,PHONE,Domestic Violence,Beating Senior Citizen,17/04/2021 10:14:00,26.834,81.019
LUCKNOW,P17042105650,C1,PS1,PHONE,Dispute,Money Transactions Dispute,17/04/2021 12:26:00,26.833,81.028
LUCKNOW,P17042106582,C1,PS1,PHONE,Theft,Other Location,17/04/2021 13:42:00,26.846,81.061
LUCKNOW,P17042107134,C1,PS1,PHONE,Property Disputes,House Capture,17/04/2021 14:33:00,26.848,81.036
LUCKNOW,P17042107253,C1,PS1,PHONE,Dispute,Dispute In Hospital,17/04/2021 14:45:00,26.833,81.019
LUCKNOW,P17042107973,C1,PS1,PHONE,Threat In Person,Attack,17/04/2021 15:44:00,26.844,81.010
LUCKNOW,P17042110010,C1,PS1,PHONE,Dispute,Money Transactions Dispute,17/04/2021 18:25:00,26.832,81.022
LUCKNOW,P17042114581,C1,PS1,PHONE,Unknown,Unknown,17/04/2021 22:37:00,26.829,81.017
LUCKNOW,P17042114953,C1,PS1,PHONE,Illegal Mining,Illegal Mining Land,17/04/2021 22:56:00,26.829,81.053
LUCKNOW,P17042114963,C1,PS1,PHONE,Information Against Police,Misbehavior By Ps Incharge,17/04/2021 22:57:00,26.829,81.053
LUCKNOW,P18042100949,C1,PS1,PHONE,Dispute,Other Dispute,18/04/2021 03:46:00,26.839,81.026
LUCKNOW,P18042101597,C1,PS1,PHONE,Unknown,Unknown,18/04/2021 07:00:00,26.837,81.014
LUCKNOW,P18042102162,C1,PS1,PHONE,Unknown,Unknown,18/04/2021 07:59:00,26.837,81.016
LUCKNOW,P18042106533,C1,PS1,PHONE,Corona,Help For Food Items,18/04/2021 13:40:00,26.835,81.017
LUCKNOW,P18042106984,C1,PS1,PHONE,Domestic Violence,Husband To Beat Wife,18/04/2021 14:15:00,26.845,81.016
LUCKNOW,P18042110363,C1,PS1,TWITTER,Corona,Gathering On Street Park,18/04/2021 18:55:00,26.839,81.026
LUCKNOW,P18042110493,C1,PS1,PHONE,Corona,Gathering On Street Park,18/04/2021 19:04:00,26.837,81.024
LUCKNOW,P18042113269,C1,PS1,PHONE,Corona,Suspect Found Infected,18/04/2021 22:01:00,26.837,81.016
LUCKNOW,P18042113618,C1,PS1,PHONE,Corona,Gathering Funeral Other Celebration,18/04/2021 22:18:00,26.851,81.049
LUCKNOW,P18042114040,C1,PS1,PHONE,Pollution,Pollution By Dj/Band/Cracker/Others Means,18/04/2021 22:38:00,26.852,81.051
LUCKNOW,P18042114444,C1,PS1,PHONE,Pollution,Pollution By Dj/Band/Cracker/Others Means,18/04/2021 22:56:00,26.851,81.049
LUCKNOW,P19042100422,C1,PS1,TWITTER,Corona,Help For Other,19/04/2021 00:28:00,26.834,81.011
LUCKNOW,P19042100867,C1,PS1,TWITTER,Corona,Help For Other,19/04/2021 01:03:00,26.826,81.006
LUCKNOW,P19042103709,C1,PS1,PHONE,Corona,Help For Other,19/04/2021 08:51:00,26.841,81.022
LUCKNOW,P19042111178,C1,PS1,PHONE,Medium Fire,Building Res Insti Auditorial Academic Professional Indus Storage Multiplex Etc,19/04/2021 15:31:00,26.839,81.000
LUCKNOW,P19042115042,C1,PS1,PHONE,Dispute,Other Dispute,19/04/2021 18:44:00,26.845,81.063
LUCKNOW,P20042100756,C1,PS1,PHONE,Unknown,Unknown,20/04/2021 02:08:00,26.834,81.016
LUCKNOW,P20042101155,C1,PS1,PHONE,Corona,Help For Other,20/04/2021 05:26:00,26.835,81.008
LUCKNOW,P20042101330,C1,PS1,PHONE,Threat In Person,Attack,20/04/2021 06:10:00,26.839,80.997
LUCKNOW,P20042103701,C1,PS1,PHONE,Dispute,Other Dispute,20/04/2021 10:02:00,26.850,81.034
LUCKNOW,P20042105120,C1,PS1,PHONE,Corona,Help For Other,20/04/2021 11:54:00,26.840,81.025
LUCKNOW,P20042107496,C1,PS1,PHONE,Animals Related,Found Injured Animal,20/04/2021 14:50:00,26.843,81.033
LUCKNOW,P20042107555,C1,PS1,PHONE,Dispute,Money Transactions Dispute,20/04/2021 14:54:00,26.846,81.027
LUCKNOW,P20042107842,C1,PS1,WhatsApp,Corona,Help For Other,20/04/2021 15:15:00,26.839,81.026
LUCKNOW,P20042111415,C1,PS1,PHONE,Domestic Violence,Husband Relatives To Beat Wife,20/04/2021 19:39:00,26.839,81.020
LUCKNOW,P20042112036,C1,PS1,PHONE,Unknown,Unknown,20/04/2021 20:15:00,26.830,81.017
LUCKNOW,P20042112411,C1,PS1,PHONE,Dispute,Other Dispute,20/04/2021 20:32:00,26.833,81.036
LUCKNOW,P20042115144,C1,PS1,PHONE,Dispute,Dispute With Drunk Person,20/04/2021 22:37:00,26.839,81.026
LUCKNOW,P20042115426,C1,PS1,PHONE,Dispute,Other Dispute,20/04/2021 22:52:00,26.834,81.007
LUCKNOW,P21042100227,C1,PS1,PHONE,Dispute,Dispute With Unknown Person,21/04/2021 00:27:00,26.838,81.020
LUCKNOW,P21042101512,C1,PS1,PHONE,Threat In Person,Attack,21/04/2021 06:41:00,26.837,81.016
LUCKNOW,P21042102921,C1,PS1,PHONE,Corona,Help For Other,21/04/2021 09:16:00,26.830,81.002
LUCKNOW,P21042102998,C1,PS1,PHONE,Theft,Other Location,21/04/2021 09:24:00,26.823,81.014
LUCKNOW,P21042108285,C1,PS1,PHONE,Dispute,Money Transactions Dispute,21/04/2021 17:21:00,26.823,81.014
LUCKNOW,P21042108754,C1,PS1,PHONE,Domestic Violence,Husband To Beat Wife,21/04/2021 18:01:00,26.831,81.024
LUCKNOW,P21042112295,C1,PS1,PHONE,Dispute,Dispute In Hospital,21/04/2021 21:46:00,26.847,81.028
LUCKNOW,P22042100452,C1,PS1,PHONE,Dispute,Dispute In Hospital,22/04/2021 01:08:00,26.821,81.012
LUCKNOW,P22042102600,C1,PS1,PHONE,Corona,Help For Other,22/04/2021 09:09:00,26.839,81.026
LUCKNOW,P22042102664,C1,PS1,PHONE,Corona,Suspect Found Infected,22/04/2021 09:17:00,26.837,81.020
LUCKNOW,P22042105059,C1,PS1,PHONE,Dispute,Other Dispute,22/04/2021 14:14:00,26.826,81.011
LUCKNOW,P22042110958,C1,PS1,PHONE,Threat In Person,Threatening To Kill,22/04/2021 22:03:00,26.851,81.041
LUCKNOW,P23042106321,C1,PS1,PHONE,Cyber Crimes,Obtain Illegally Atm / Bank  Information,23/04/2021 13:53:00,26.837,81.024
LUCKNOW,P23042108691,C1,PS1,PHONE,Crime On Phone Mobile Social Media Internet,Abuse Men,23/04/2021 17:11:00,26.841,81.015
LUCKNOW,P23042109504,C1,PS1,PHONE,Dispute,Dispute Between Hijras,23/04/2021 18:21:00,26.843,81.016
LUCKNOW,P23042110565,C1,PS1,PHONE,Child Crime(Sexual Abuse),Teasing On Public Place,23/04/2021 19:46:00,26.839,81.004
LUCKNOW,P23042111042,C1,PS1,PHONE,Dispute,Other Dispute,23/04/2021 20:15:00,26.840,81.025
